_Id,_Iteration,_Segment,Sample Number,Hall Voltage [Volts],Type,Mobility [cm²/(V·s)],Carrier Concentration [1/cm³],Hall Coefficient [cm³/C],V.Over,I.Over,Compliance
0,0,0,0,-0.0034416525,N,218.455306475395,4.53147045840737E+18,1.37736948442855,False,False,False
1,0,0,1,-0.00344156,N,218.449052651692,4.5316001866759E+18,1.37733005381884,False,False,False
2,0,0,2,-0.0034417675,N,218.462103259148,4.53132947548937E+18,1.3774123384232,False,False,False
3,0,0,3,-0.003441425,N,218.439811635427,4.53179189436286E+18,1.37727178884,False,False,False
4,0,0,4,-0.0034400025,N,218.349367443474,4.53366904317619E+18,1.37670153457587,False,False,False
5,0,0,5,-0.00344028,N,218.365757898663,4.53332874760965E+18,1.37680487705438,False,False,False
6,0,0,6,-0.00344267,N,218.517109166494,4.53018883304616E+18,1.37775915287904,False,False,False
7,0,0,7,-0.0034423475,N,218.496808495648,4.53060973563508E+18,1.37763115633372,False,False,False
8,0,0,8,-0.0034416225,N,218.450156602344,4.53157728596912E+18,1.37733701427206,False,False,False
9,0,0,9,-0.0034417475,N,218.459118000222,4.53139139641941E+18,1.37739351624573,False,False,False
10,0,0,10,-0.0034415275,N,218.4442031596,4.53170078883861E+18,1.37729947757635,False,False,False
11,0,0,11,-0.0034435175,N,218.570235687277,4.52908770795273E+18,1.3780941177271,False,False,False
12,0,0,12,-0.003441515,N,218.442579249688,4.53173447766361E+18,1.37728923875912,False,False,False
13,0,0,13,-0.003441385,N,218.435130933746,4.53188900312851E+18,1.37724227682784,False,False,False
14,0,0,14,-0.0034411625,N,218.420483713462,4.53219291041506E+18,1.37714992551545,False,False,False
15,0,0,15,-0.00344139,N,218.435109555186,4.53188944667104E+18,1.37724214203516,False,False,False
16,0,0,16,-0.00344136,N,218.432527888904,4.53194300932626E+18,1.37722586452553,False,False,False
17,0,0,17,-0.0034419625,N,218.471300266474,4.53113871967691E+18,1.3774703259239,False,False,False
18,0,0,18,-0.003440355,N,218.36924028927,4.53325645344667E+18,1.37682683366707,False,False,False
19,0,0,19,-0.0034429925,N,218.535627847952,4.52980494541753E+18,1.37787591390968,False,False,False
20,0,0,20,-0.0034422025,N,218.486544689359,4.53082256933962E+18,1.37756644262269,False,False,False
21,0,0,21,-0.00344179,N,218.460012411722,4.53137284415196E+18,1.37739915554617,False,False,False
22,0,0,22,-0.0034413125,N,218.430223183908,4.53199082684683E+18,1.37721133326793,False,False,False
23,0,0,23,-0.00344248,N,218.503770379391,4.53046538307674E+18,1.37767505129043,False,False,False
24,0,0,24,-0.00344138,N,218.433212745305,4.5319288002683E+18,1.37723018257265,False,False,False
25,0,0,25,-0.00344183,N,218.462212538847,4.53132720881673E+18,1.37741302743609,False,False,False
26,0,0,26,-0.0034398725,N,218.338248726075,4.53389991699315E+18,1.37663143061594,False,False,False
27,0,0,27,-0.003443265,N,218.554011969086,4.5294239115391E+18,1.37799182653207,False,False,False
28,0,0,28,-0.003442135,N,218.482194691917,4.5309127783684E+18,1.37753901571404,False,False,False
29,0,0,29,-0.003441165,N,218.419478733182,4.532213763704E+18,1.37714358907441,False,False,False
30,0,0,30,-0.0034421275,N,218.481325183332,4.53093081042472E+18,1.37753353342747,False,False,False
31,0,0,31,-0.003441755,N,218.456228126978,4.5314513404497E+18,1.37737529547881,False,False,False
32,0,0,32,-0.0034406025,N,218.383879213554,4.53295257571438E+18,1.37691913267284,False,False,False
33,0,0,33,-0.003441655,N,218.450596669019,4.53156815714924E+18,1.37733978891012,False,False,False
34,0,0,34,-0.0034404925,N,218.376798912995,4.53309954492914E+18,1.37687449109334,False,False,False
35,0,0,35,-0.00344202,N,218.47385157996,4.53108580553987E+18,1.37748641205794,False,False,False
36,0,0,36,-0.0034417025,N,218.45368811127,4.5315040287686E+18,1.37735928057772,False,False,False
37,0,0,37,-0.003441285,N,218.426833196601,4.53206116340373E+18,1.37718995926176,False,False,False
38,0,0,38,-0.003441435,N,218.436272112152,4.53186532714366E+18,1.37724947200354,False,False,False
39,0,0,39,-0.00343998,N,218.343597498993,4.53378884984318E+18,1.37666515484409,False,False,False
40,0,0,40,-0.003442235,N,218.487334236027,4.53080619632708E+18,1.37757142074615,False,False,False
41,0,0,41,-0.003441985,N,218.471684684882,4.53113074677582E+18,1.37747274969741,False,False,False
42,0,0,42,-0.0034573,N,219.443218442108,4.51107022036653E+18,1.38359830907102,False,False,False
43,0,0,43,-0.00344929,N,218.935297155809,4.52153572601444E+18,1.38039584495364,False,False,False
44,0,0,44,-0.0034406325,N,218.384893033681,4.53293153214085E+18,1.37692552484947,False,False,False
45,0,0,45,-0.0034485,N,218.885055279575,4.5225735786812E+18,1.38007906790536,False,False,False
46,0,0,46,-0.0034432725,N,218.553017514918,4.52944452120415E+18,1.37798555645858,False,False,False
47,0,0,47,-0.0034422375,N,218.487039333674,4.5308123117718E+18,1.37756956137497,False,False,False
48,0,0,48,-0.003444065,N,218.602690657561,4.52841529442237E+18,1.37829874761871,False,False,False
49,0,0,49,-0.0034402,N,218.357594184565,4.53349823472985E+18,1.37675340450898,False,False,False
50,0,0,50,-0.0034404525,N,218.373227689928,4.53317367814516E+18,1.37685197438842,False,False,False
51,0,0,51,-0.003444355,N,218.621349158836,4.52802881138734E+18,1.37841639021891,False,False,False
52,0,0,52,-0.003442865,N,218.526884655628,4.52998618149698E+18,1.37782078773079,False,False,False
53,0,0,53,-0.003441605,N,218.445887703943,4.5316658426512E+18,1.37731009869612,False,False,False
54,0,0,54,-0.003441865,N,218.463078941932,4.53130923801868E+18,1.37741849014235,False,False,False
55,0,0,55,-0.0034390525,N,218.284705059816,4.53501204999367E+18,1.3762938356489,False,False,False
56,0,0,56,-0.00344087,N,218.399159235567,4.53263543339854E+18,1.37701547382555,False,False,False
